,Hotel_Name,festac,Address,Cost,Property_type,Likes,Rating,Review
568,Alfredo Suites,Surulere,"Surulere, Lagos - 47, Adetola Street, Aguda",NA,Hotel,66,6.4 Very Good,From 1 review
569,Volantis Gold Suites And Apartments,Magodo,"Magodo, Lagos - 16 Akinola Erinoluwa Street Off Maiye Ogunpana Str...","₦33,000",Hotel,58,NA,NA
570,Tip Top Hotels Nigeria Limited,Agege,"Agege, Lagos - 198, Abeokuta Express Road, Iyana Ipaja","₦5,000",Tip Top Hotels Nigeria Limited,291,NA,NA
571,De Meros Hotel ,Ikeja,"Ikeja, Lagos - Plot 4A Celestial Street, Off Amara Olu, By Alh. L...","₦25,000",Hotel,564,NA,NA
572,Glonik Hotels,Ikeja,"Ikeja, Lagos - 118/120 Adeniyi Jones Avenue, Ikeja","₦12,500",Hotel,2469,7.1 Very Good,From 37 reviews
573,Ced Lodge,Ikotun,"Ikotun, Lagos - 46, Segun Irefin Street Behind Synagogue Church, S...","₦3,500",Budget Hotel,326,6.0 Very Good,From 2 reviews
574,Holla-Jobi Guest House,Ajao Estate,"Ajao, Lagos - 13 Billiaminu Akinsanya Street Ilamose Estate, Oke...","₦7,000",Hotel,268,7.2 Very Good,From 3 reviews
575,The Whitehouse Hotels ,Ikeja,"Ikeja, Lagos - 23A Toyin Street Ikeja Lagos","₦15,000",Hotel,266,NA,NA
576,Alexia's Place,Ikeja,"Ikeja, Lagos - 9, Regina Omolara Street, Off Opebi Road, Ikeja","₦20,000",Hotel,252,NA,NA
577,Grace Villa Bed And Breakfast Apartment,Ikeja,"Ikeja, Lagos - 14 Alade Avenue Off Awolowo Way","₦9,000",Hotel,196,NA,NA
578,S And S Hotel And Suites,Victoria Island,"Victoria Island, Lagos - 239, Muri Okunola Street","₦25,000",Hotel,190,NA,NA
579,Dreamland Luxury Suites,Ikeja,"Ikeja, Lagos - 314 Mofoluke Denton Close Omole Phase 1","₦11,000",Hotel,151,NA,NA
580,Delsam Hotel,Ikorodu,"Ikorodu, Lagos - 2, Prince Adeneye Adeowo Street, Odogunyan","₦5,500",Hotel,116,NA,NA
581,Paradis Hotel And Bar,Alimosho,"Alimosho, Lagos - 40, Ikotun Idimu Road, Ikotun, Alimosho.","₦6,000",Hotel,110,NA,NA
582,Royal Bliss Hotel,Abeokuta,"Abeokuta, Lagos - 3/5 Chief Olaogun Estate, Junaid Close, Ifako-Ijai...","₦5,000",Hotel,105,7.6 Very Good,From 1 review
583,Paradise Inn,Ikorodu,"Ikorodu, Lagos - 17, Oyegbola Str, Oke Ariya.","₦2,500",Hotel,103,NA,NA
584,Regional International Hotels,Ojo,"Ojo, Lagos - 22, Isashi Road, Off Iyana Sashi Bus Stop Badagry ...","₦6,000",Hotel,95,NA,NA
585,Apartment 15,Surulere,"Surulere, Lagos - 15, Idita Street, Off Bode Thomas Street, Surulere...","₦10,500",Hotel,93,NA,NA
586,Procare Suites And Resort,Epe,"Epe, Lagos - 5/7 Procare Avenue, Noforija, Epe","₦11,000",Hotel,92,NA,NA
587,"Adesua Hotel, Suites And Event Centre",Ikotun,"Ikotun, Lagos - 9B, Abanishe Street, Off Kudaki Road, Hostel B/sto...","₦4,000",Hotel,64,NA,NA
588,Magville Hotel,Epe,"Epe, Lagos - 2, Old Palace Payinebga Avenue Epe","₦25,000",Hotel,38,NA,NA
589,Kelvinson International Hotel,Ojo,"Ojo, Lagos - Agric Road",NA,Hotel,27,NA,NA
590,Islanders Lounge,Ikeja,"Ikeja, Lagos - 73 Opebi Road, Opposite Union Home Bank","₦14,500",Hotel,921,6.2 Very Good,From 4 reviews
591,White House Hotels,Ikeja,"Ikeja, Lagos - 31, Joel Ogunaike Street, GRA","₦18,000",Hotel,332,NA,NA
592,ANJIEZ ROYAL SUITE,Ikeja,"Ikeja, Lagos - 4,Olugbesan Close, Behind Alade Market Allen Avenu...","₦11,500",Hotel,315,7.7 Very Good,From 3 reviews
593,Tudor House Hotel,Lekki,"Lekki, Lagos - 14 Dr. Adewale Oshin, Off Chief Collins Uchejionu,...","₦35,000",Boutique Hotel,268,NA,NA
594,ARIFLAD HOTELS AND SUITE,Ogba,"Ogba, Lagos - 17 Emmanuel Olorunfemi St, Ifako, Lagos Off Haruna...","₦10,000",Hotel,244,NA,NA
595,Keblat Resort Hotel,Ikorodu,"Ikorodu, Lagos - Isawo Road Opposite U.P.E School Agric ",NA,Hotel,227,NA,NA
596,Ayotoz Hotel And Suites,Alimosho,"Alimosho, Lagos - 7, Akinbolade Street, Council, Idimu","₦3,000",Hotel,173,NA,NA
597,Royal Hills Hotel,Shomolu,"Shomolu, Lagos - 38, Anu Oluwapo Street","₦12,000",Hotel,172,NA,NA
598,Villa Savoye Hotel,Lekki,"Lekki, Lagos - 5 Tony Eigbokhan Street, KM 43 Lekki-Epe Expresswa...","₦8,000",Hotel,170,NA,NA
599,Victory International Hotel ,Ikorodu,"Ikorodu, Lagos - 5, Dotun Oladogba Avenue, Opposite Low Cost Housin...","₦3,000",Hotel,144,NA,NA
600,E74 Garden And Suites Limited ,Ketu,"Ketu, Lagos - 22/34 Oterubi Ogidan Street Off Weigh Bridge Busto...","₦5,000",Hotel,142,NA,NA
601,La View Suites And Towers,Egbeda,"Egbeda, Lagos - 14/16 Alhaji Tella Street, Akowonjo, Egbeda","₦7,500",Hotel,136,NA,NA
602,De Clove Residence,Surulere,"Surulere, Lagos - 21,Imam Dauda Street,Off Eric Moore Road.","₦12,500",Hotel,127,NA,NA
603,Top Rank Hotels Galaxy,Ikeja,"Ikeja, Lagos - 17, Olayeni Abiola Street, Off Salvation Road.","₦24,675",Hotel,114,NA,NA
604,Archer Hotels ( Formerly Alfoscar International Hotels),Ojo,"Ojo, Lagos - Lasu-Igando Expressway","₦7,000",Hotel,107,NA,NA
605,Roth Hotel And Suites,Ojodu,"Ojodu, Lagos - 10 Omolara Street,Saabo Ojodu, Lagos","₦10,000",Hotel,90,NA,NA
606,La Belle Hotels ,Ikorodu,"Ikorodu, Lagos - 126 Isawo Road Agric Bus Stop.","₦6,000",Hotel,51,NA,NA
607,Water Gate Hotel,Abule Egba,"Abule Egba., Lagos - 36 Wamon Taofeek Off Social Club Road Abule Egba.","₦5,650",Hotel,611,NA,NA
608,Class Suites Budget (Formerly Cottage 2 Guest House),Ikeja,"Ikeja, Lagos - 3, Anu Oluwapo Close, Off Agbaoku Street, Opebi, I...","₦10,000",Guest House,627,6.5 Very Good,From 11 reviews
609,Island Heights Hotel,Victoria Island,"Victoria Island, Lagos - 11 Samuel Manuwa Street","₦25,000",Hotel,363,7.2 Very Good,From 7 reviews
610,Austina Continental Suites Limited,Isheri,"Isheri, Lagos - 6/8 Ben Okonkwo Off Governor Road By Salvation Amr...","₦8,000",Hotel,294,NA,NA
611,R And A City Hotel Annex,Ikeja,"Ikeja, Lagos - 2 Mejekodunmi Street, Off Allen Avenue","₦20,000",Hotel,255,7.2 Very Good,From 1 review
612,New World Inn ,Oshidi Isolo,"Oshodi-Isolo, Lagos - 41/47 Samuel Ekunola Street Off Ago Palace Way Lor...","₦8,500",Hotel,231,6.5 Very Good,From 6 reviews
613,Kinsunbo Inn Hotel,Ikeja,"Ikeja, Lagos - 12 Toyin Street","₦8,000",Hotel,220,NA,NA
614,SPRAY PARK HOTELS,Berger,"Berger, Lagos -  3, Limpson Estate, Off Limpson Road Berger.","₦12,000",Hotel,213,NA,NA
615,Witsspring Suites,Gbagada,"Gbagada, Lagos - Fred Omojole Crescent, Ifako, Gbagada, Lagos","₦25,000",Hotel,211,NA,NA
616,Harvey Road Guest House,Yaba,"Yaba, Lagos - 8, Harvey Road, Federal Neuro-Psychiatric Hospital...","₦12,000",Hotel,190,NA,NA
617,A.Y. Hotels,Ikeja,"Ikeja, Lagos - Plot 349 Odusanmi Street Off Wempco Road.","₦15,000",Hotel,173,NA,NA
618,Westpark Hotel,Egbeda,"Egbeda, Lagos - 5 Alhaji Oloye Street, Seliat Bus Stop, Off Odemuy...","₦6,500",Hotel,164,NA,NA
619,Nne-eka Residence,Ajao Estate,"Ajao Estate, Lagos - 18b Osolo Way, Murtala Mohammed International Airp...",NA,Hotel,149,NA,NA
620,R And A City Hotel,Ikeja,"Ikeja, Lagos - 2 Majekodunmi Street Off Allen","₦30,000",Hotel,144,NA,NA
621,"De Royale Hotel And Suites, Ikotun",Ikotun,"Ikotun, Lagos - 186, Abaranje Road, Ikotun","₦6,000",Hotel,138,NA,NA
622,Flexus Hotel Suites,Satellite Town,"Satellite Town, Lagos - 2 Nkanta Close, Ijegun, Satellite Town, Lagos","₦15,000",Hotel,121,7.0 Very Good,From 2 reviews
623,Proof Hotel & Lounge, Victoria Island," Victoria Island, Lagos - 8, Rafiat Ayinke Tinundu Close, Off New Market Roa...","₦45,000",Hotel,112,NA,NA
624,Echospring Hotel,Isolo,"Isolo, Lagos - 93 Isheri-Osun Road, Bucknor Area,Hotel Bus Stop, ...","₦9,000",Hotel,105,6.0 Very Good,From 1 review
625,Masbat De Kings Hotel,Ikorodu,"Ikorodu, Lagos - Itokun Road, Kasholori, Ikorodu.","₦6,500",Hotel,51,NA,NA
626,Rush Hotel,Surulere,"Surulere, Lagos - 24 Oyekan Street, Surulere, ","₦14,000",Hotel,49,NA,NA
627,Regal Suites,Ojo,"Ojo, Lagos - 32 Arupa Street, Agric-Ojo Barrack","₦7,000",Hotel,47,NA,NA
628,Emrey Hotel,Oshidi Isolo,"Oshodi-Isolo, Lagos - No. 10, Dibor Street, Off Okota Road, Okota","₦7,500",Hotel,45,NA,NA
629,Posh Apartments Metro,Lagos,"Lagos, Lagos - 50B Abba Johnson Crescent Adeniyi Jones Ikeja","₦17,500",Hotel,374,NA,NA
630,Villa Picasso Corporate Suites,Victoria Island,"Victoria Island, Lagos - 62B Adetokunbo Ademola Street, Opposite Eko Hotel",NA,Luxury Hotel,1022,7.4 Very Good,From 25 reviews
631,GolfView Suites And Conference Center,Ikeja,"Ikeja, Lagos - 12-14, General Adeyinka Adebayo Road, GRA Ikeja","₦40,000",Hotel,467,NA,NA
632,"Newcastle Hotel, Lekki",Lekki,"Lekki, Lagos - Plot 15 Block 20/21 TF Kuboye Road By Oniru New Ma...","₦25,300",Hotel,371,NA,NA
633,Maria Suites Limited,Oshidi Isolo,"Oshodi-Isolo, Lagos - 25, Fatai Irawo Street, Off Airport Road.","₦11,500",Hotel,358,NA,NA
634,African Sun Amber Residence,Ikeja,"Ikeja, Lagos - 16, Esugbayi Street Off Oba Dosumu G.R.A","₦57,000",Hotel,324,NA,NA
635,ADNA HOTEL,Ikeja,"Ikeja, Lagos - 28, Ladipo Bateye Street, GRA, Ikeja Ikeja GRA","₦17,500",Hotel,300,NA,NA
636,Planet One Hospitality Hotel ,Maryland,"Maryland, Lagos - 5 Mobolaji Bank Anthony Way Maryland","₦25,000",Hotel,252,7.6 Very Good,From 1 review
637,4 Seasons Hotel,Ajao Estate,"Ajao Estate, Lagos - 2/4 Chukwudi Otigba Close","₦11,000",Hotel,214,7.2 Very Good,From 2 reviews
638,THE CHESTERFIELD HOTEL LIMITED, Ikeja," Ikeja, Lagos - 54, Adeniyi Jones Road","₦40,000",Hotel,198,NA,NA
639,Hymax Grace Suites Limited,Lekki,"Lekki, Lagos - Block 19 Plot 13 Road 37, Emeka Nweze Street, Oppo...","₦27,500",Hotel,160,7.5 Very Good,From 3 reviews
640,Montana Hotel,Ikeja,"Ikeja, Lagos - 16 Oduduwa Way Off Isaac John G.R.A Ikeja, Lagos N...","₦35,000",Hotel,147,NA,NA
641,Allure Suites Limited,Surulere,"Surulere, Lagos - 5 Census Close, Off Babs Animashau","₦12,500",Hotel,138,6.3 Very Good,From 3 reviews
642,WestFoster Harbour,Ikoyi,"Ikoyi, Lagos - 70 Queens Drive","₦65,550",Hotel,129,NA,NA
643,Chateux De Atlantique,Victoria Island,"Victoria Island, Lagos - 26A Gafar Animashaun Off Sinari Daranijo Ligali Ay...","₦42,000",Hotel,97,NA,NA
644,Fourways Hotels ,Lekki,"Lekki, Lagos - Flood Gate Street, KM 22 Lekki - Epe Express Way B...","₦27,500",Hotel,73,NA,NA
645,Twin Tower Hotel ,Surulere,"Surulere, Lagos - 21 Adegoke Street , Off Olufemi Street, Surulere","₦11,000",Hotel,73,NA,NA
646,Allure Suites Limited,Surulere,"Surulere, Lagos - 10, Awoyemi Close, Off Oyekan Street Via Ogulana D...","₦15,000",Hotel,71,6.0 Very Good,From 1 review
647,Manila Suites,Ejigbo,"Ejigbo, Lagos - 41, Duduyemi Street, Bucknor","₦4,000",Hotel,67,NA,NA
648,Chez Moi Apartments ,Ikeja,"Ikeja, Lagos - 12 Ayoola Coker GRA","₦24,950",Apartment,53,NA,NA
649,Ekwesimo Hotel,Okokomaiko,"Okokomaiko, Lagos - 25 Olusegun Street, Ira Quarter, Volks- Ojo, 00001...","₦3,500",Hotel,28,NA,NA
650,Dover Hotel Ikeja,Ikeja,"Ikeja, Lagos - 14 Aromire Avenue","₦50,000",Hotel,413,NA,NA
651,Lagoon Crest Hotel,Lekki,"Lekki, Lagos - 23 Admiralty Road, Lekki Phase 1, Off Admiralty Wa...","₦18,000",Hotel,616,6.4 Very Good,From 13 reviews
652,Lekki Suites ,Lekki,"Lekki, Lagos - 1A Kayode Otitoju Street Off Admiralty Way ","₦20,000",Hotel,363,7.0 Very Good,From 7 reviews
653,  Seafortunes Royal Hotel And Suites ,Okota,"Okota, Lagos - No 21/22 Godwin Obasi Street, Off Ibiwoye Busstop,...","₦15,000",Hotel,265,NA,NA
654,Ziggies Basement Suites,Magodo,"Magodo, Lagos - 84-86 Basheer Shittu Avenue, Magodo","₦10,000",Boutique Hotel,253,NA,NA
655,Emglo Suite ,Amuwo Odofin,"Amuwo-Odofin, Lagos - No. 39A, Plot 2155 Festac Link Road, Off Apple Jun...","₦12,000",Hotel,250,NA,NA
656,The Sojourner By Genesis,Lagos,"Lagos, Lagos - 16 Oba Akinjobi Street, GRA, Ikeja, Lagos","₦60,000",Hotel,222,NA,NA
657,Jiboss Garden And Hotel,Abule Egba,"Abule Egba, Lagos - 1/3 Uba Street, Off Olaniyi Street, Abule Egba","₦3,000",Hotel,200,NA,NA
658,Adesuwa Royal Guest House,Ketu,"Ketu, Lagos - 56 Yakubu Street, Off Jimoh Balogun ",NA,Hotel,123,NA,NA
659,The Residence Apartments ,Ikoyi,"Ikoyi, Lagos - No 5 Lugard Avenue Ikoyi","₦33,000",Hotel,86,7.8 Very Good,From 2 reviews
660,Josheld Model Hotel,Ijede,"Ijede, Lagos - Ikorodu Road Bakery Bus-Stop Elemu Oke-Eletu, Ijed...","₦5,000",Hotel,86,NA,NA
661,Residency Hotels ,Lekki,"Lekki, Lagos - Km 13 Lekki-Epe Express Way, Osapa Bus Stop By Olo...","₦27,000",Hotel,80,NA,NA
662,Light House Guest Inn,Ojo,"Ojo, Lagos - Km 23, Badagry Expressway Lasu.","₦3,000",Hotel,69,NA,NA
663,Vemm's Place Guest House,Isolo,"Isolo, Lagos - 8 Ganiyu Yusuf Street Oke Afa",NA,Hotel,49,NA,NA
664,Micdeb Hotel And Suites,Ejigbo,"Ejiigbo, Lagos - 2/6 Micdeb Street, Off Idimu Ejigbo Road, Via Ming...","₦3,000",Hotel,32,NA,NA
665,West Brom Hotel,Ketu,"Ketu, Lagos - 4/6 Elebiju Street, Ketu Alapere, Kosofe","₦13,000",Hotel,466,7.8 Very Good,From 3 reviews
666,New World Inn,Lagos Island,"Lagos Island, Lagos - 123, Igbosere Road Lagos Island","₦8,000",Hotel,518,6.4 Very Good,From 5 reviews
667,CHOICE SUITES III,Ikeja,"Ikeja, Lagos - 46 Community Road, Off Bamisile Street, Off Allen ...","₦12,000",Hotel,477,NA,NA
668,Presken Hotels And Resorts (Opebi),Ikeja,"Ikeja, Lagos - 17-19 Abel Oreniyi Street Off Salvation Road Opebi","₦20,000",Hotel,235,NA,NA
669,The Habitat Suites International Limited ,Ajao Estate,"Ajao Estate, Lagos - 4, Asa-Afariogun Street, Off Muritala Internationa...","₦20,000",Hotel,222,NA,NA
670,De Genesix Hotel And Suites ,Ikeja,"Ikeja, Lagos - 10A-C Abo-Aba Street Off Ajayi Road Oke Ira Ogba","₦10,000",Hotel,190,NA,NA
671,Hotel Domitiana,Egbeda,"Egbeda, Lagos - 77 Idimu Road,Car Wash Bus-top","₦5,999",Hotel,75,NA,NA
672,Kingsmead Hotels And Services ,Ikorodu,"Ikorodu, Lagos - 3 Church Street Ikorodu Opp Laspotech","₦3,000",Hotel,138,NA,NA
673,Creme Suites ,Maryland,"Maryland, Lagos - 2B Iya Oloye Crescent Idiroko Estate","₦10,000",Hotel,134,7.6 Very Good,From 2 reviews
674,Jolac Suites,Allen Avenue,"Allen Avenue, Lagos - 4, Akin Oshiyemi Street, Between Mr Biggs And Firs...","₦10,000",Hotel,127,NA,NA
675,Holy Wood Hotel And Bar,Ikeja,"Ikeja, Lagos - 38, Ajayi Road, Oke Ira, Ogba, Ikeja",NA,Hotel,110,NA,NA
676,De Partners Hotel 2,Ikeja,"Ikeja, Lagos - 5, Tiwalade Close Off Allen Avenue","₦17,000",Hotel,107,6.3 Very Good,From 3 reviews
677,The Cromwell Courtyard Hotel,Ikeja,"Ikeja, Lagos - 29 Sobo Arobiodu Street, GRA Ikeja","₦54,000",Hotel,107,NA,NA
678,EED Pension Hotel,Isolo,"Isolo, Lagos - 8 Alabe Street, Off Osolo Way, After Aswani Market...","₦16,000",Hotel,105,NA,NA
679,Villa 4 Hotels & Suites ,Sangotedo,"Sangotedo-Ajah, Lagos - Osayaba Ogiamen Drive, Hopeville Estate, (Opposite...","₦14,999",Hotel,101,NA,NA
680,Paradise Hotel & Bar,Alimosho,"Alimosho, Lagos - 40 Ikotun Idimu Road Ikotu","₦3,000",Hotel,93,NA,NA
681,Carlton Gate Hotel,Festac,"Festac, Lagos - Plot 1873, A1 Close, 7th Avenue, Festac Town","₦18,000",Hotel,88,NA,NA
682,D Jos Hotel Annex,Ikorodu,"Ikorodu, Lagos - D Jos Close, Off Yusuf Street Agric Bus-Stop Ijede","₦3,500",Hotel,69,NA,NA
683,Community Development Foundation Training Complex,Ketu,"Ketu, Lagos - 1 Kayode Odusola Crescent, CMD Road Ikosi","₦8,500",Hotel,56,NA,NA
684,Home Base Resorts,Egbeda,"Egbeda, Lagos - 2/3 Adewole Str,off Idimu Road Egbeda, Oja Bus Sto...","₦5,000",Hotel,56,NA,NA
685,Rest Inn Guest House,Victoria Island,"Victoria Island, Lagos - No. 214, Etim Inyang Crescent, Victoria Island, Vi...","₦25,000",Hotel,47,NA,NA
686,Domani Suite And Leisure Limited,Amuwo Odofin,"Amuwo Odofin, Lagos - Block 60 Plot 1331, Joseph Orru, Amuwo Odofin","₦12,000",Hotel,45,NA,NA
687,Carleton Hotel And Suite,Ajah,"Ajah, Lagos - No 9 Pastor Olayemi Close, Off Addo Badore Road, B...","₦15,000",Hotel,30,NA,NA
688,E74 Garden And Suite,Alimosho,"Alimosho, Lagos - 21, Akeja Street Off Anthony Avenue, Ile Iwe Busst...","₦4,000",Hotel,25,NA,NA
689,NERDC Guest House ,Ikeja,"Ikeja, Lagos - NERDC Road, Agidingi","₦7,000",Hotel,503,7.4 Very Good,From 4 reviews
690,Lobim D' Hotel ,Ajah,"Ajah, Lagos - 37 Ajeniya Street, Obalende, Eti Osa","₦10,000",Hotel,452,NA,NA
691,Alt Event Center And Hotel,Yaba,"Yaba, Lagos - 5/6 Victory Close, Jibowu","₦4,000",Hotel,155,NA,NA
692,Ehi Guest House ,Egbeda,"Egbeda, Lagos - 7/9, Goddy Love Street, Opp. Baale Bus Stop,Egbeda","₦5,250",Guest House,497,7.5 Very Good,From 7 reviews
693,Kolat Palace Hotel,Ikeja,"Ikeja, Lagos - 7, Shodipo Street, Off. Oregun Road, Ikeja, Lagos ","₦5,000",Kolat Palace Hotel,378,NA,NA
694,ABVIC Executive Hotel,Ikorodu ,"Ikorodu , Lagos - 50, Igbodu Road, Imowonla Agura Gberigbe Ikorodu, ...","₦7,000",Hotel,417,7.3 Very Good,From 9 reviews
695,Stalad Gardens Hotel & Events ,Alimosho,"Alimosho, Lagos - 51/53, Progressive Road, Abule Egba, Alimosho, Lag...","₦7,500",Hotel,326,NA,NA
696,CONVERGENCE HOTELS AND SUITES,Ogba,"Ogba, Lagos - 7A, Acme Road, Ogba, Lagos","₦15,000",Hotel,324,NA,NA
697,Victoria Crown Plaza Hotel,Victoria Island,"Victoria Island, Lagos - 292b  Ajose Adeogun Street ","₦100,000",Hotel,302,NA,NA
698,Chalon Suites,Oshidi Isolo,"Oshodi-Isolo, Lagos - 2, Akiti Close, Akiti Avenue Off Okota Road ","₦17,000",Hotel,274,7.4 Very Good,From 10 reviews
699,Medallion Royal Suites,Ikeja,"Ikeja, Lagos - 20 Oladipupo Oduwole Street Ojodu","₦4,275",Hotel,218,7.5 Very Good,From 5 reviews
700,Chesney Hotels ,Victoria Island,"Victoria Island, Lagos - 37, Saka Tinubu Street, Victoria Island","₦60,000",Hotel,216,NA,NA
701,Texas Oversea Catering (TOC) Hotel,Lekki  Phase 1,"Lekki  Phase 1, Lagos - 6 Dele Adedeji Street, Off Durosimi Etti Road, Lek...","₦25,000",Hotel,216,NA,NA
702,Swiss Villa Suites Limited,Lekki,"Lekki, Lagos - 15 Cornelius Odinjor CrescentrnBehind Union Bank, ...","₦15,000",Hotel,209,6.3 Very Good,From 7 reviews
703,Whitebrook Suites And Bar,Surulere,"Surulere, Lagos - 16 Imam Dauda Street, Off Eric Moore Road, Suruler...","₦9,000",Hotel,166,6.4 Very Good,From 2 reviews
704,Adig Suites,Surulere,"Surulere, Lagos - 17/40 Adetola Street","₦10,450",Hotel,142,7.2 Very Good,From 1 review
705,El Al Court Hotel,Victoria Island,"Victoria Island, Lagos - Plot 15, Block 35, Yesufu Abiodun Oniru Road, Vict...","₦15,000",Hotel,120,NA,NA
706,Offshoreroomz Hotel,Agege,"Agege, Lagos - 1, Odumosu Street, Off Iju Road","₦5,500",Hotel,108,NA,NA
707,Imperial Suites Hotel,Ebute Metta,"Ebute Metta, Lagos - 59, Lagos Street","₦8,500",Hotel,92,7.4 Very Good,From 2 reviews
708,Olowe Scenic Park,Ibeju Lekki,"Ibeju Lekki, Lagos - KM 34 Lekki Epe Express Way","₦6,000",Hotel,92,NA,NA
709,Royalty Place,Ikeja,"Ikeja, Lagos - 1 Ajayi Street Off Ogundana Street Off Allen Avenu...","₦20,000",Hotel,86,NA,NA
710,BHL SUITES,Lagos Island,"Lagos Island, Lagos - Bookshop House, 50 / 52 Broad Street, CMS","₦8,000",Hotel,69,NA,NA
711,Chancellor's Court ,Victoria Island,"Victoria Island, Lagos - 18 Balarabe Musa Crescent,","₦16,500",Hotel,67,NA,NA
712,Bikem Lodge,Ikotun,"Ikotun, Lagos - 12 Onilewura Street Ikotun Egbe Lagos","₦4,000",Hotel,62,NA,NA
713,Rontex 18 Hotel And Event Centre,Alimosho,"Alimosho, Lagos - 47/49/51 Shaba Ojo Srteet, Off LASAU - Igando Road",NA,Hotel,53,NA,NA
714,Sugarland Shortlet Apartment ,Ikoyi,"Ikoyi, Lagos - 17 Alade Odunewu Street Park View Estate Ikoyi ","₦55,000",Apartment,45,NA,NA
715,"4 Bedroom Penthouse Apartment, Off Admiralty Way, Lekki",Lekki Phase 1,"Lekki Phase 1, Lagos - Off Admiralty Way, Lekki Phase 1","₦125,000",Apartment,36,NA,NA
716,Monarch Suite ,Ikeja,"Ikeja, Lagos - 25 Church Street, Off Salvation Road, Opebi, Ikeja...","₦9,000",Hotel,263,NA,NA
717,Bethel Apartment ,Surulere,"Surulere, Lagos - 84, Bode Thomas Street","₦6,825",Hotel,384,7.1 Very Good,From 7 reviews
718,Hard Rock Hotel And Suite ,Egbe,"Egbe, Lagos - 16 Unity Street  Off Liasu Road","₦8,000",Budget Hotel,345,NA,NA
719,KSF Place(Alaka),Surulere,"Surulere, Lagos - 12B, Rafiu Shittu Street, Alaka Estate","₦15,000",Hotel,298,7.3 Very Good,From 6 reviews
720,BRAVEHEARTS COURTS,Opebi Ikeja,"Opebi,Ikeja, Lagos - 6 Henry Adefowope Crescent, Awuse Estate,Opebi","₦13,500",Hotel,194,NA,NA
721,Zurich Lodge,Okota,"Okota, Lagos - Olatunji Idowu Street Off Ago Palace Way Okota","₦17,500",Hotel,173,NA,NA
722,Cynergy Suites Limited ,Amuwo Odofin,"Amuwo-Odofin, Lagos - Block 19 Plot 339b Amuwo Odofin Residential Scheme...",NA,Hotel,149,7.8 Very Good,From 2 reviews
723,Emerald Cove Hotel ,Victoria Island,"Victoria Island, Lagos - 18b Sinari Daranijo Street, Victoria Island, Lagos","₦28,000",Hotel,140,7.4 Very Good,From 2 reviews
724,Serendipity Anchotel,Ikeja,"Ikeja, Lagos - 1A Abiodun Close Off Oluwaleimu  Street By Ladipo","₦16,000",Hotel,133,7.2 Very Good,From 4 reviews
725,Sugarland Hotel And Suites,Ikotun,"Ikotun, Lagos - 8/10, Ajayi Close, Off Onilewura Street, Off Liasu...","₦14,000",Hotel,131,NA,NA
726,Soketta Hotels Limited,Badagry,"Badagry, Lagos -  1/3, Soketta Street,  Off Hospital Road, Badagry","₦6,175",Hotel,127,NA,NA
727,Des Hotel Limited , Orile  Iganmu," Orile - Iganmu, Lagos - 43, Coker Road, Orile - Iganmu",NA,Hotel,121,NA,NA
728,The Palmview Manor,Victoria Island,"Victoria Island, Lagos - 2 Tony Anegbode St Off Sinari Daranijo Street ","₦25,000",Hotel,116,NA,NA
729,House 23 Guest House,Magodo,"Magodo, Lagos - 23 Adekunle Banjo, Magodo GRA Phase 2","₦25,000",Guest House,110,NA,NA
730,Pacific Hotel And Suites 1,Ijaye,"Ijaye, Lagos - Federal Housing Estate, Meiran, Salolo Bus Stop, I...",NA,Hotel,97,NA,NA
731,Cozy World Hotel,Ikeja ,"Ikeja , Lagos - Plot 5, Acme Road, Ogba Near Mikano","₦10,000",Hotel,92,NA,NA
732,Scarlet Lodge Hotel And Resturant ,Victoria Island,"Victoria Island, Lagos - 79 Younis Bashorun Street","₦53,750",Hotel,80,NA,NA
733,J.Gibson's Lodge,Lekki Phase 1,"Lekki Phase 1, Lagos - 220 Freedom Way, Off Admiralty ",NA,Hotel,80,6.0 Very Good,From 1 review
734,The Stonehouse Boutique Hotel ,Lekki,"Lekki, Lagos - 22 Admiralty Road, Off Admiralty Way","₦25,000",Hotel,77,NA,NA
735,Ed Scob Suites,Surulere,"Surulere, Lagos - 7,Tade Aranmolate Close, Off Bakery Bus-stop, Agud...","₦8,500",Hotel,67,NA,NA
736,Gilford View Hotels Ltd,Surulere,"Surulere, Lagos - 114, Adetola Street, Aguda Surulere, Lagos","₦18,000",Hotel,62,NA,NA
737,Graziella International Hotel,Apapa,"Apapa, Lagos - 1/6 ,Salami Street, By Tolu Road, Ajegunle, Ajerom...",NA,Hotel,54,NA,NA
738,Dam Jay Hotel ,Ikorodu,"Ikorodu, Lagos - 27, Alhaji Yusuf Street, Off Igbe Road, Igbogbo","₦5,000",Hotel,49,NA,NA
739,Grand Roses Continental Hotels Limited ,Oshidi Isolo,"Oshodi-Isolo, Lagos - Plot 9 Oshodi Apapa Expressway Oshodi Oke Oshodi-I...","₦4,500",Hotel,38,NA,NA
740,The Rice Apartments,Victoria Island,"Victoria Island, Lagos - Plot 3 Block B, T Y Danjuma Street, Off Dideolu Es...","₦40,000",Hotel,27,NA,NA
741,Casa Blanca,Victoria Island,"Victoria Island, Lagos - 84, Ozumba Mbadiwe Road , Vitctoria Island ","₦70,000",Hotel,17,NA,NA
