,Hotel_Name,festac,Address,Cost,Property_type,Likes,Rating,Review
2576,APLUS HOTEL AND SUITES,,", Lagos - ",NA,APLUS HOTEL AND SUITES,1,NA,NA
2577,FITT HOTELS,Surulere,"Surulere, Lagos - 24, Ijaiye Street, Itire, Surulere",NA,Hotel,1,NA,NA
2578,Legendary Inn & Lounge,,", Lagos - ",NA,Legendary Inn & Lounge,1,NA,NA
2579,Peace Hotels,,", Lagos - ",NA,Peace Hotels,1,NA,NA
2580,LUXURY CHARMING APARTMENTS,,", Lagos - ",NA,LUXURY CHARMING APARTMENTS,1,NA,NA
2581,Aplus Hotel And Suites,,", Lagos - ",NA,Aplus Hotel And Suites,1,NA,NA
2582,White House,,", Lagos - ",NA,White House,1,NA,NA
2583,Daridal Homes,,", Lagos - ",NA,Daridal Homes,1,NA,NA
2584,Hotel De Dekmant,,", Lagos - ",NA,Hotel De Dekmant,1,NA,NA
2585,Velwood Lodge,,", Lagos - ",NA,Velwood Lodge,1,NA,NA
2586,DARIDAL APARTMENTS,,", Lagos - ",NA,DARIDAL APARTMENTS,1,NA,NA
2587,"White House, Ikoyi",,", Lagos - ",NA,"White House, Ikoyi",1,NA,NA
2588,Westwood Girls House,,", Lagos - ",NA,Westwood Girls House,1,NA,NA
2589,Castle City Resort & Suites,LekkiEpe ,"Lekki-Epe , Lagos - Lekki - Epe Expressway, Eluju",NA,Hotel,1,NA,NA
2590,Hotel De Dekmat,,", Lagos - ",NA,Hotel De Dekmat,1,NA,NA
2591,Hotel De Dekmat,,", Lagos - ",NA,Hotel De Dekmat,1,NA,NA
2592,Perfect Havens Luxury Services  (Reeve Road),Victoria island ,"Vi, Ikoyi , Lagos - ","₦45,000",Hotel,2,NA,NA
2593,Sayaveth Hotels Apartments,,", Lagos - ",NA,Sayaveth Hotels Apartments,1,NA,NA
2594,Yello Condo,Lekki Phase 1,"Lekki Phase 1, Lagos - Off Freedom Way F Penthouse, Primewaterview Garden...",NA,Hotel,1,NA,NA
2595,A2 SUITES HOTEL,,", Lagos - ",NA,A2 SUITES HOTEL,1,NA,NA
2596,KENNYLAS HOTEL,Ebute Metta,"Ebute Metta, Lagos - 82 Cemetery Street, Ebute Metta East ",NA,KENNYLAS HOTEL,1,NA,NA
2597,Perks Apartments,Ikeja,"Ikeja, Lagos - 1 Oluwaleimu Street, Allen, Ikeja",NA,Hotel,1,NA,NA
2598,Unique One Apartment,,", Lagos - ",NA,Unique One Apartment,1,NA,NA
2599,Proof Hotel And Lounge,,", Lagos - ",NA,Proof Hotel And Lounge,1,NA,NA
2600,Casa Hakuna,,", Lagos - ",NA,Casa Hakuna,1,NA,NA
2601,Casa Cinq,,", Lagos - ",NA,Casa Cinq,1,NA,NA
2602,Casa Cinq,,", Lagos - ",NA,Casa Cinq,1,NA,NA
2603,Star Rise Golden International Hotel,,", Lagos - ",NA,Star Rise Golden International Hotel,1,NA,NA
2604,PROTOCOL COURT AND SUITES,,", Lagos - ",NA,PROTOCOL COURT AND SUITES,1,NA,NA
2605,KLAD SUITES AND SERVICES LTD,,", Lagos - ",NA,KLAD SUITES AND SERVICES LTD,1,NA,NA
2606,W Hotel NG,,", Lagos - ",NA,W Hotel NG,1,NA,NA
2607,RAMOK HOTELS,,", Lagos - ",NA,RAMOK HOTELS,1,NA,NA
2608,Cantagali Business Apartments,,", Lagos - ",NA,Cantagali Business Apartments,1,NA,NA
2609,SAPPER'S LODGE,,", Lagos - ",NA,SAPPER'S LODGE,1,NA,NA
2610,TIMELESS APARTMENTS AND BAR,,", Lagos - ",NA,TIMELESS APARTMENTS AND BAR,1,NA,NA
2611,Testing Hotel,,", Lagos - ",NA,Testing Hotel,1,NA,NA
2612,HOV Beach Resort,,", Lagos - ",NA,HOV Beach Resort,1,NA,NA
2613,REGINA MICHAELS SUITES,,", Lagos - ",NA,REGINA MICHAELS SUITES,1,NA,NA
2614,Maximus ,,", Lagos - ",NA,Maximus ,1,NA,NA
2615,Jonaith Hotels & Suites,Lekki,"Lekki, Lagos - 47 Lekki-Epe Express Way, Lekki Phase 1, Lagos, Ni...",NA,Jonaith Hotels & Suites,1,NA,NA
2616,UTIMANIK HOTEL,Lekki,"Lekki, Lagos - ",NA,UTIMANIK HOTEL,1,NA,NA
2617,Dmatel Hotels,Lekki,"Lekki, Lagos - 10 Agungi Ajiran Road, Ajiran Off Lekki Expressway...",NA,Dmatel Hotels,1,NA,NA
2618,Royal Park Hotel & Suites,Lekki,"Lekki, Lagos - KM 36, Eputu,, Lekki-Epe Expressway, Ibeju, Lekki",NA,Royal Park Hotel & Suites,1,NA,NA
2619,Beachland Hotel,Lekki,"Lekki, Lagos - 1 Ogombo Street Opp. Abraham Adesanya Estate Lekki...",NA,Beachland Hotel,1,NA,NA
2620,House 1 Hotel And Suites,Lekki,"Lekki, Lagos - Lekki - Epe Expy, Abijo G.R.A, Lagos,",NA,House 1 Hotel And Suites,1,NA,NA
2621,Maximus Hotel,,", Lagos - ",NA,Maximus Hotel,1,NA,NA
2622,Beni Gold Apapa,Apapa,"Apapa, Lagos - ",NA,Beni Gold Apapa,1,NA,NA
2623,Daridal Apartments,,", Lagos - ",NA,Daridal Apartments,1,NA,NA
2624,ODUS SUITE  AND TOWER,,", Lagos - ",NA,ODUS SUITE  AND TOWER,1,NA,NA
2625,Yoris Palace Hotel,,", Lagos - ",NA,Yoris Palace Hotel,1,NA,NA
2626,21st Century Apartment At Ikoyi,Ikoyi,"Ikoyi, Lagos - Ikoyi","₦120,000",Apartment,2,NA,NA
2627,21st Century Homes,Ikoyi,"Ikoyi, Lagos - Ikoyi",NA,Hotel,1,NA,NA
2628,VILLA D'AZMEER,,", Lagos - ",NA,VILLA D'AZMEER,1,NA,NA
2629,JP Suite And Lounge,,", Lagos - ",NA,JP Suite And Lounge,1,NA,NA
2630,Franjane Royal Suites,,", Lagos - ",NA,Franjane Royal Suites,1,NA,NA
2631,Askamaya Hotels And Suites Ltd,,", Lagos - ",NA,Askamaya Hotels And Suites Ltd,1,NA,NA
2632,IBISUN HOTEL&SUITES,,", Lagos - ",NA,IBISUN HOTEL&SUITES,1,NA,NA
2633,Running Brook,,", Lagos - ",NA,Running Brook,1,NA,NA
2634,A2 SUITES HOTEL,,", Lagos - ",NA,A2 SUITES HOTEL,1,NA,NA
2635,Blupoint Hotel And Suites Limited,,", Lagos - ",NA,Blupoint Hotel And Suites Limited,1,NA,NA
2636,Blupoint Hotel And Suites Limited,,", Lagos - ",NA,Blupoint Hotel And Suites Limited,1,NA,NA
2637,Blupoint Hotel And Suites Limited,,", Lagos - ",NA,Blupoint Hotel And Suites Limited,1,NA,NA
2638,Blanca,,", Lagos - ",NA,Blanca,1,NA,NA
2639,De Santiago Milan Hotel And Suites,,", Lagos - ",NA,De Santiago Milan Hotel And Suites,1,NA,NA
2640,De Santiago Milan Hotel And Suites,,", Lagos - ",NA,De Santiago Milan Hotel And Suites,1,NA,NA
2641,Benvisoth Hotels And Lodge,,", Lagos - ",NA,Benvisoth Hotels And Lodge,1,NA,NA
2642,Johnson Suites,,", Lagos - ",NA,Johnson Suites,1,NA,NA
2643,PILGRIMAGEHOTELS,,", Lagos - ",NA,PILGRIMAGEHOTELS,1,NA,NA
2644,Jitaku At Eko Pearl,,", Lagos - ",NA,Jitaku At Eko Pearl,1,NA,NA
2645,PureHill Hotel,,", Lagos - ",NA,PureHill Hotel,1,NA,NA
2646,Perch Hotel,,", Lagos - ",NA,Perch Hotel,1,NA,NA
2647,Heritage House Hotel,,", Lagos - ",NA,Heritage House Hotel,1,NA,NA
2648,Duplex Apartment,,", Lagos - ",NA,Duplex Apartment,1,NA,NA
2649,Dionzec Hotel & Suite Limited,,", Lagos - ",NA,Dionzec Hotel & Suite Limited,1,NA,NA
2650,Zodis Place,Ajah,"Ajah, Lagos - 10 ,Ayinke Daniels By Thomas Estate Ajah,","₦105,000",Hotel,2,NA,NA
2651,"Sunfit - Fitness, Spa, Accommodation",,", Lagos - ",NA,"Sunfit - Fitness, Spa, Accommodation",1,NA,NA
2652,Ibis Hotel,,", Lagos - ",NA,Ibis Hotel,1,NA,NA
2653,The Winehouse Apartment,,", Lagos - ",NA,The Winehouse Apartment,1,NA,NA
2654,84 Parks & Garden,Agege,"Agege, Lagos - Idi -oparun Bus Stop Hainat Augusto Avenue, Old, O...",NA,84 Parks & Garden,1,NA,NA
2655,Octopus Hotel,Lekki,"Lekki, Lagos - Rafiu Salami Street By Community Bus Stop, Orimedu...",NA,Octopus Hotel,1,NA,NA
2656,Hotel 1960 Classic,,", Lagos - ",NA,Hotel 1960 Classic,1,NA,NA
2657,DE MISSION INN HOTEL,,", Lagos - ",NA,DE MISSION INN HOTEL,1,NA,NA
2658,Aden360,,", Lagos - ",NA,Aden360,1,NA,NA
2659,Nuelton Lounge & Hotel ,,", Lagos - ",NA,Nuelton Lounge & Hotel ,1,NA,NA
2660,D'LUXX VILLA & SUITES,,", Lagos - ",NA,D'LUXX VILLA & SUITES,1,NA,NA
2661,La Mango Restaurant And Lounge,,", Lagos - ",NA,La Mango Restaurant And Lounge,1,NA,NA
2662,1Dokita Healthcare Ltd,,", Lagos - ",NA,1Dokita Healthcare Ltd,1,NA,NA
2663,Peridot Hotel & Suites,,", Lagos - ",NA,Peridot Hotel & Suites,1,NA,NA
2664,Delight Apartment ,Lekki,"Lekki, Lagos - D Block Prime Water View Gardens ! Off Freedom Way...","₦25,393",Apartment,1,NA,NA
2665,Crownrealties Apartments,Victoria Island,"Victoria Island, Lagos - Plot 12 Simeon Akinolu Crescent, Oniru Estate, Vic...","₦27,000",Apartment,1,NA,NA
2666,Luxury Charming Tower Apartment,Ikoyi ,"Ikoyi , Lagos - 17a Awolowo Road, Ikoyi, Lagos, Nigeria","₦23,682",Apartment,1,NA,NA
2667,Dunovella,Victoria Island,"Victoria Island, Lagos - Plot 41, Block B, Adeniyi Coker Street Dideolu Est...","₦77,720",Apartment,1,NA,NA
2668,Alpha Apartment ,Lekki,"Lekki, Lagos - Gardens Road, Off Freedom Way, Lekki, 105102 Lagos...","₦27,750",Apartment,1,NA,NA
2669,Zuken Apartments,Lekki,"Lekki, Lagos - 66 Chuks Onyebuchi Drive, Lekki Phase 1, Lagos, Le...","₦40,480",Apartment,1,NA,NA
2670,The Hide Serviced Apartments,Victoria Island,"Victoria Island, Lagos - Ihuntayi Road, Victoria Island, 101001 Lagos, Nige...","₦54,415",Apartment,1,NA,NA
2671,Bella Residencia,Lekki,"Lekki, Lagos - Plot 17 & 19 Seagate Estate Ikate Apartment 1b Bel...","₦54,415",Apartment,1,NA,NA
2672,Grandbee Apartment And Residence,Ikeja,"Ikeja, Lagos - 8A/B Adeyemo Alakija Street, Ikeja, Lagos, 100101,...","₦19,000",Grandbee Apartment And Residence,1,NA,NA
2673,Helena Court Apartments,Ikoyi,"Ikoyi, Lagos - Olusegun Aina Street, Lagos, Lagos, 101233, Nigeri...","₦90,530",Helena Court Apartments,1,NA,NA
2674,Condotel Apartment,Ikeja,"Ikeja, Lagos - 8 Shonny Highway, Off Bank Anthony Way, Shonibare ...","₦26,060",Condotel Apartment,1,NA,NA
2675,C.G. Apartments,Ikeja,"Ikeja, Lagos - 2 Olaniji Street, Juli Estate, Off Kudirat Abiola ...","₦14,480",C.G. Apartments,1,NA,NA
2676,Pew Apartment,VICTORIA ISLAND ,"VICTORIA ISLAND , Lagos - ",NA,Apartment,1,NA,NA
2677,Bromley Place Apartment,Lekki ,"Lekki , Lagos - Cadogan Place Estatei Oba Akinloye Way Osapa Lekki...","₦67,435",Apartment,1,NA,NA
2678,I-MAX GUEST HOUSE & SUITE,Apapa ,"Apapa , Lagos - 2 Oranyan Road Off Oduduwa Road. Apapa, Apapa, Lag...",NA,Apartment,1,NA,NA
2679,LimeRidge Apartments,Ikoyi,"Ikoyi, Lagos - Block 12, Plot 2A, Udi Street, Osborne Foreshore E...","₦28,510",Apartment,1,NA,NA
2680,Kobrent Apartment,Ikoyi,"Ikoyi, Lagos - Oniru Estate, 105102 Lagos, Nigeria",NA,Apartment,1,NA,NA
2681,Tandy Apartments,Magodo,"Magodo, Lagos - ","₦22,810",Apartment,1,NA,NA
2682,Cozy Apartment,Lekki,"Lekki, Lagos - Chevron Drive","₦18,000",Apartment,1,NA,NA
2683,Oiza Apartment,Lekki Phase I,"Lekki Phase I, Lagos - 3 House On The Rock Road, Ikate Elegushi, 105102 L...",NA,Apartment,1,NA,NA
2684,Modern Apartment,Lekki,"Lekki, Lagos - Chevron Drive, 100001 Ikota, Nigeria","₦16,195",Apartment,1,NA,NA
2685,Adunola 1 And 2,Surulere,"Surulere, Lagos - 17 Sabiu Ajose Street Apartment, Surulere, 101283 ...","₦18,100",Apartment,1,NA,NA
2686,Cadogan Apartment,"LEKKI, LAGOS","LEKKI, LAGOS., Lagos - Osapa, 105102 Lagos, Nigeria","₦90,500",Apartment,1,NA,NA
2687,Magmercy Apartment,Ikoyi,"Ikoyi, Lagos - ","₦22,990",Apartment,1,NA,NA
2688,Kira Apartment,Ikoyi,"Ikoyi, Lagos - House H13 D Close Ondo Street Banana Island, Ikoyi...","₦84,700",Apartment,1,NA,NA
2689,Casa Chaso,Lekki,"Lekki, Lagos - Akiogun Road After Maroko Police Station Lekki Pha...","₦67,155",Apartment,1,NA,NA
2690,Dee's Apartment,Lekki,"Lekki, Lagos - Unnamed Road Block F, Apartment 8, PWV Garden 1, L...","₦19,965",Apartment,1,NA,NA
2691,Olawerth Serviced Apartment,Lekki,"Lekki, Lagos - 12 Oba Amusa Rd Idado Estate Lekki Lagos, Lagos, N...","₦54,450",Apartment,1,NA,NA
2692,Fundlot Apartments,Ikoyi,"Ikoyi, Lagos - 7 Bankole Oki Street Ikoyi Lagos Nigeria, Ikoyi, L...","₦101,640",Apartment,1,NA,NA
2693,Vegas Apartments,Magodo,"Magodo, Lagos - 26 Adewale Kolawole Crescent, Lagos, Nigeria","₦12,105",Apartment,1,NA,NA
2694,Ikeja Transit Apartment,Ikeja,"Ikeja, Lagos - 3, Kafi Street, Alausa, Ikeja, Lagos, Lagos, Niger...","₦10,890",Apartment,1,NA,NA
2695,Cozy En-suite,Ikoyi,"Ikoyi, Lagos - ",NA,Cozy En-suite,1,NA,NA
2696,Troy,Victoria Island,"Victoria Island, Lagos - ","₦35,000",Apartment,1,NA,NA
2697,"Short Stay Short Let In Ikeja, G.R.A",Victoria Island,"Victoria Island,, Lagos - ","₦60,000",Apartment,1,NA,NA
2698,The Garley,Victoria Island,"Victoria Island, Lagos - ","₦45,000",The Garley,1,NA,NA
2699,Purple Hut,Victoria Island,"Victoria Island, Lagos - ","₦30,000",Purple Hut,1,NA,NA
2700,Arcadia Grande,Victoria Island,"Victoria Island, Lagos - ","₦90,000",Arcadia Grande,1,NA,NA
2701,Gatsby,Lekki,"Lekki, Lagos - ","₦35,000",Gatsby,1,NA,NA
